Name: 广东卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.56:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 深圳卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.61:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 深圳卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.145:9244$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 深圳卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.101:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 深圳卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.45:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 海南卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.58:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 海南卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.158:8304$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 海南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.55:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 三沙卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.203:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 三沙卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.78:4120$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 陕西卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.81:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 陕西卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.154:8140$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 陕西卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.59:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 四川卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.76:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 四川卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.142:8288$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 四川卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.139:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 四川卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.61:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 贵州卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.1:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 贵州卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.144:8120$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 贵州卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.142:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 贵州卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.69:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 云南卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.63:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 云南卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.139:8108$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 云南卫视, URL: http://120.55.49.231:4149/rtp/233.50.200.115:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 云南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.46:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 广西卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.64:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
